customerName,orderNumber,orderDate
"Euro+ Shopping Channel",10190,2003-11-19
"Euro+ Shopping Channel",10203,2003-12-02
"Euro+ Shopping Channel",10205,2003-12-03
"Euro+ Shopping Channel",10212,2004-01-16
"Euro+ Shopping Channel",10244,2004-04-29
"Euro+ Shopping Channel",10246,2004-05-05
"Euro+ Shopping Channel",10262,2004-06-24
"Euro+ Shopping Channel",10279,2004-08-09
"Euro+ Shopping Channel",10311,2004-10-16
"Euro+ Shopping Channel",10350,2004-12-02
"Euro+ Shopping Channel",10355,2004-12-07
"Euro+ Shopping Channel",10358,2004-12-10
"Euro+ Shopping Channel",10378,2005-02-10
"Euro+ Shopping Channel",10379,2005-02-10
"Euro+ Shopping Channel",10380,2005-02-16
"Euro+ Shopping Channel",10383,2005-02-22
"Euro+ Shopping Channel",10386,2005-03-01
"Euro+ Shopping Channel",10394,2005-03-15
"Euro+ Shopping Channel",10412,2005-05-03
"Euro+ Shopping Channel",10417,2005-05-13
"Euro+ Shopping Channel",10424,2005-05-31
"Extreme Desk Decorations, Ltd",10234,2004-03-30
"Extreme Desk Decorations, Ltd",10268,2004-07-12
"Extreme Desk Decorations, Ltd",10418,2005-05-16
"Feuer Online Stores, Inc",NULL,NULL
"Franken Gifts, Co",NULL,NULL
"Frau da Collezione",10157,2003-10-09
"Frau da Collezione",10218,2004-02-09
FunGiftIdeas.com,10166,2003-10-21
FunGiftIdeas.com,10321,2004-11-04
FunGiftIdeas.com,10388,2005-03-03
"Gift Depot Inc.",10172,2003-11-05
"Gift Depot Inc.",10263,2004-06-28
"Gift Depot Inc.",10413,2005-05-05
"Gift Ideas Corp.",10131,2003-06-16
"Gift Ideas Corp.",10146,2003-09-03
"Gift Ideas Corp.",10353,2004-12-04
Gifts4AllAges.com,10264,2004-06-30
Gifts4AllAges.com,10295,2004-09-10
Gifts4AllAges.com,10414,2005-05-06
giftsbymail.co.uk,10232,2004-03-20
giftsbymail.co.uk,10316,2004-11-01
GiftsForHim.com,10202,2003-12-02
GiftsForHim.com,10260,2004-06-16
GiftsForHim.com,10410,2005-04-29
"Handji Gifts& Co",10217,2004-02-04
"Handji Gifts& Co",10259,2004-06-15
"Handji Gifts& Co",10288,2004-09-01
"Handji Gifts& Co",10409,2005-04-23
"Havel & Zbyszek Co",NULL,NULL
"Heintze Collectables",10161,2003-10-17
"Heintze Collectables",10314,2004-10-22
"Herkku Gifts",10181,2003-11-12
"Herkku Gifts",10188,2003-11-18
"Herkku Gifts",10289,2004-09-03
"Iberia Gift Imports, Corp.",10184,2003-11-14
"Iberia Gift Imports, Corp.",10303,2004-10-06
"Kelly's Gift Shop",10138,2003-07-07
"Kelly's Gift Shop",10179,2003-11-11
"Kelly's Gift Shop",10360,2004-12-16
"Kelly's Gift Shop",10399,2005-04-01
"King Kong Collectables, Co.",10187,2003-11-15
"King Kong Collectables, Co.",10200,2003-12-01
"Kommission Auto",NULL,NULL
"Kremlin Collectables, Co.",NULL,NULL
"L'ordine Souveniers",10176,2003-11-06
"L'ordine Souveniers",10266,2004-07-06
"L'ordine Souveniers",10416,2005-05-10
"La Corne D'abondance, Co.",10114,2003-04-01
"La Corne D'abondance, Co.",10286,2004-08-28
"La Corne D'abondance, Co.",10336,2004-11-20
"La Rochelle Gifts",10275,2004-07-23
"La Rochelle Gifts",10315,2004-10-29
"La Rochelle Gifts",10375,2005-02-03
"La Rochelle Gifts",10425,2005-05-31
"Land of Toys Inc.",10107,2003-02-24
"Land of Toys Inc.",10248,2004-05-07
"Land of Toys Inc.",10292,2004-09-08
"Land of Toys Inc.",10329,2004-11-15
"Lisboa Souveniers, Inc",NULL,NULL
"Lyon Souveniers",10134,2003-07-01
"Lyon Souveniers",10356,2004-12-09
"Lyon Souveniers",10395,2005-03-17
"Marseille Mini Autos",10122,2003-05-08
"Marseille Mini Autos",10344,2004-11-25
"Marseille Mini Autos",10364,2005-01-06
"Marta's Replicas Co.",10285,2004-08-27
"Marta's Replicas Co.",10305,2004-10-13
"Men 'R' US Retailers, Ltd.",10160,2003-10-11
"Men 'R' US Retailers, Ltd.",10209,2004-01-09
"Messner Shopping Network",NULL,NULL
"Microscale Inc.",10242,2004-04-20
"Microscale Inc.",10319,2004-11-03
"Mini Auto Werke",10164,2003-10-21
"Mini Auto Werke",10170,2003-11-04
"Mini Auto Werke",10392,2005-03-10
"Mini Caravy",10241,2004-04-13
"Mini Caravy",10255,2004-06-04
"Mini Caravy",10405,2005-04-14
"Mini Classics",10195,2003-11-25
"Mini Classics",10308,2004-10-15
"Mini Creations Ltd.",10143,2003-08-10
"Mini Creations Ltd.",10185,2003-11-14
"Mini Creations Ltd.",10365,2005-01-07
"Mini Gifts Distributors Ltd.",10113,2003-03-26
"Mini Gifts Distributors Ltd.",10135,2003-07-02
"Mini Gifts Distributors Ltd.",10142,2003-08-08
"Mini Gifts Distributors Ltd.",10182,2003-11-12
"Mini Gifts Distributors Ltd.",10229,2004-03-11
"Mini Gifts Distributors Ltd.",10271,2004-07-20
"Mini Gifts Distributors Ltd.",10282,2004-08-20
"Mini Gifts Distributors Ltd.",10312,2004-10-21
"Mini Gifts Distributors Ltd.",10335,2004-11-19
"Mini Gifts Distributors Ltd.",10357,2004-12-10
"Mini Gifts Distributors Ltd.",10368,2005-01-19
"Mini Gifts Distributors Ltd.",10371,2005-01-23
"Mini Gifts Distributors Ltd.",10382,2005-02-17
"Mini Gifts Distributors Ltd.",10385,2005-02-28
"Mini Gifts Distributors Ltd.",10390,2005-03-04
"Mini Gifts Distributors Ltd.",10396,2005-03-23
"Mini Gifts Distributors Ltd.",10421,2005-05-29
"Mini Wheels Co.",10111,2003-03-25
"Mini Wheels Co.",10201,2003-12-01
"Mini Wheels Co.",10333,2004-11-18
"Mit Vergnügen & Co.",NULL,NULL
"Motor Mint Distributors Inc.",10109,2003-03-10
"Motor Mint Distributors Inc.",10236,2004-04-03
"Motor Mint Distributors Inc.",10331,2004-11-17
"Muscle Machine Inc",10127,2003-06-03
"Muscle Machine Inc",10204,2003-12-02
"Muscle Machine Inc",10267,2004-07-07
"Muscle Machine Inc",10349,2004-12-01
"Natürlich Autos",NULL,NULL
"Norway Gifts By Mail, Co.",10284,2004-08-21
"Norway Gifts By Mail, Co.",10301,2003-10-05
"Online Diecast Creations Co.",10100,2003-01-06
"Online Diecast Creations Co.",10192,2003-11-20
"Online Diecast Creations Co.",10322,2004-11-04
"Online Mini Collectables",10276,2004-08-02
"Online Mini Collectables",10294,2004-09-10
"Osaka Souveniers Co.",10210,2004-01-12
"Osaka Souveniers Co.",10240,2004-04-13
"Oulu Toy Supplies, Inc.",10151,2003-09-21
"Oulu Toy Supplies, Inc.",10239,2004-04-12
"Oulu Toy Supplies, Inc.",10373,2005-01-31
"Petit Auto",10221,2004-02-18
"Petit Auto",10273,2004-07-21
"Petit Auto",10423,2005-05-30
"Porto Imports Co.",NULL,NULL
"Precious Collectables",NULL,NULL
"Québec Home Shopping Network",10171,2003-11-05
"Québec Home Shopping Network",10261,2004-06-17
"Québec Home Shopping Network",10411,2005-05-01
"Raanan Stores, Inc",NULL,NULL
"Reims Collectables",10121,2003-05-07
"Reims Collectables",10137,2003-07-10
"Reims Collectables",10343,2004-11-24
"Reims Collectables",10359,2004-12-15
"Reims Collectables",10398,2005-03-30
"Rovelli Gifts",10106,2003-02-17
"Rovelli Gifts",10173,2003-11-05
"Rovelli Gifts",10328,2004-11-12
"Royal Canadian Collectables, Ltd.",10235,2004-04-02
"Royal Canadian Collectables, Ltd.",10283,2004-08-20
"Royale Belge",10116,2003-04-11
"Royale Belge",10144,2003-08-13
"Royale Belge",10338,2004-11-22
"Royale Belge",10366,2005-01-10
"Salzburg Collectables",10119,2003-04-28
"Salzburg Collectables",10269,2004-07-16
"Salzburg Collectables",10341,2004-11-24
"Salzburg Collectables",10419,2005-05-17
"SAR Distributors, Co",NULL,NULL
"Saveley & Henriot, Co.",10194,2003-11-25
"Saveley & Henriot, Co.",10208,2004-01-02
"Saveley & Henriot, Co.",10227,2004-03-02
"Scandinavian Gift Ideas",10167,2003-10-23
"Scandinavian Gift Ideas",10291,2004-09-08
"Scandinavian Gift Ideas",10389,2005-03-03
"Schuyler Imports",NULL,NULL
"Signal Collectibles Ltd.",10149,2003-09-12
"Signal Collectibles Ltd.",10219,2004-02-10
"Signal Gift Stores",10124,2003-05-21
"Signal Gift Stores",10278,2004-08-06
"Signal Gift Stores",10346,2004-11-29
"Souveniers And Things Co.",10139,2003-07-16
"Souveniers And Things Co.",10270,2004-07-19
"Souveniers And Things Co.",10361,2004-12-17
"Souveniers And Things Co.",10420,2005-05-29
"Stuttgart Collectable Exchange",NULL,NULL
"Stylish Desk Decors, Co.",10129,2003-06-12
"Stylish Desk Decors, Co.",10175,2003-11-06
"Stylish Desk Decors, Co.",10351,2004-12-03
"Suominen Souveniers",10141,2003-08-01
"Suominen Souveniers",10247,2004-05-05
"Suominen Souveniers",10363,2005-01-06
"Super Scale Inc.",10196,2003-11-26
"Super Scale Inc.",10245,2004-05-04
"Technics Stores Inc.",10140,2003-07-24
"Technics Stores Inc.",10168,2003-10-28
"Technics Stores Inc.",10317,2004-11-02
"Technics Stores Inc.",10362,2005-01-05
"Tekni Collectables Inc.",10233,2004-03-29
"Tekni Collectables Inc.",10251,2004-05-18
"Tekni Collectables Inc.",10401,2005-04-03
"The Sharp Gifts Warehouse",10250,2004-05-11
"The Sharp Gifts Warehouse",10257,2004-06-14
"The Sharp Gifts Warehouse",10400,2005-04-01
"The Sharp Gifts Warehouse",10407,2005-04-22
"Tokyo Collectables, Ltd",10258,2004-06-15
"Tokyo Collectables, Ltd",10339,2004-11-23
"Tokyo Collectables, Ltd",10372,2005-01-26
"Tokyo Collectables, Ltd",10408,2005-04-22
"Toms Spezialitäten, Ltd",10191,2003-11-20
"Toms Spezialitäten, Ltd",10310,2004-10-16
"Toys of Finland, Co.",10155,2003-10-06
"Toys of Finland, Co.",10299,2004-09-30
"Toys of Finland, Co.",10377,2005-02-09
Toys4GrownUps.com,10145,2003-08-25
Toys4GrownUps.com,10189,2003-11-18
Toys4GrownUps.com,10367,2005-01-12
"UK Collectables, Ltd.",10253,2004-06-01
"UK Collectables, Ltd.",10302,2003-10-06
"UK Collectables, Ltd.",10403,2005-04-08
"Vida Sport, Ltd",10225,2004-02-22
"Vida Sport, Ltd",10287,2004-08-30
"Vitachrome Inc.",10102,2003-01-10
"Vitachrome Inc.",10237,2004-04-05
"Vitachrome Inc.",10324,2004-11-05
"Volvo Model Replicas, Co",10112,2003-03-24
"Volvo Model Replicas, Co",10320,2004-11-03
"Volvo Model Replicas, Co",10326,2004-11-09
"Volvo Model Replicas, Co",10334,2004-11-19
"Warburg Exchange",NULL,NULL
"West Coast Collectables Co.",10199,2003-12-01
"West Coast Collectables Co.",10215,2004-01-29
